序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
1	2021/5/25 16:59:46	161秒	微信	N/A	117.144.101.42(上海-上海)	女	应该重视	了解一点	浏览网页┋阅读书刊┋听讲座	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	一般	偶尔	经常	没有	倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	如何和他人交往	和人类聊天好可怕
2	2021/5/25 17:21:01	105秒	微信	N/A	223.104.102.79(河北-张家口)	女	应该重视	了解一点	浏览网页┋跟朋友聊天时了解到	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋家庭问题┋其他	很弱	很少	经常	有时	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室	如何和他人交往	(空)
3	2021/5/25 17:43:17	233秒	微信	N/A	39.144.73.110(宁夏-银川)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题┋考试考证	一般	很少	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
4	2021/5/25 18:04:12	159秒	微信	N/A	122.97.179.10(江苏-南京)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋其他	有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	很强	很少	经常	较少	参加户外活动转移注意力┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	没有对象，没有方式可以解决
5	2021/5/25 18:16:35	144秒	微信	N/A	221.192.179.148(河北-石家庄)	男	应该重视	了解一点	浏览网页┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋考试考证┋就业压力	很强	偶尔	偶尔	没有	倒头大睡，不去想任何事情┋其他：〖玩儿〗	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋网络心理咨询	如何处理学习和工作	(空)
6	2021/5/25 18:24:50	143秒	微信	N/A	221.192.178.91(河北-沧州)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	是	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	不知道
7	2021/5/25 18:31:16	250秒	微信	N/A	221.192.180.253(河北-石家庄)	女	必须重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋就业压力	很弱	很少	从来没有	较少	倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	网络心理咨询┋组织团体活动	如何处理学习和工作	感觉自己一事无成。网络解答
8	2021/5/25 18:39:38	125秒	微信	N/A	112.53.136.200(江苏-镇江)	男	必须重视	了解一点	跟朋友聊天时了解到	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋考试考证	一般	很少	经常	没有	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋组织团体活动	情绪调节	(空)
9	2021/5/25 18:45:35	129秒	微信	N/A	14.16.207.216(广东-广州)	女	应该重视	了解一点	浏览网页┋跟朋友聊天时了解到	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋考试考证┋就业压力	很弱	偶尔	偶尔	较少	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	。
10	2021/5/25 18:46:29	85秒	微信	N/A	122.97.175.226(江苏-南京)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证	一般	偶尔	经常	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	(空)
